NOME_NAVIO;MES_ANO_ABERTURA;CLASSIFICACAO_RISCO;INDICE_CONFORMIDADE;PONTUACAO_RISCO;TEMPORADA
HORIZON (PACIFIC DRE;12/2010;C;90,76;310;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
SPLENDOUR OF THE SEA;12/2012;C;91,71;415;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
AZAMARA JOURNEY;02/2012;A;97,98;80;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
BOUDICCA;01/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
NATIONAL GEOGRAPHIC ;10/2014;A;97,43;125;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Outubro 2014
COSTA PACIFICA;11/2019;A;98,20;90;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
SEVEN SEAS MARINER;03/2016;C;92,70;365;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
SPLENDOUR OF THE SEA;03/2013;A;99,40;30;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
SOVEREIGN (SOBERANO);10/2015;A;98,65;65;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
SOVEREIGN (SOBERANO);12/2016;A;97,60;120;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Dezembro 2016
COSTA LUMINOSA;01/2017;A;79,17;125;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Janeiro 2017
REGATTA;02/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
OCEAN DREAM;01/2014;D;85,56;715;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
SEABOURN ODYSSEY;02/2011;D;77,05;770;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
RHAPSODY OF THE SEAS;01/2016;A;98,20;54;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
MSC PREZIOSA;01/2015;A;99,19;40;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
SEABOURN QUEST;11/2016;A;98,85;55;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
VOYAGER;03/2013;D;88,01;600;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
ORIENT QUEEN II;12/2013;D;63,89;1065;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
ZAANDAM;11/2018;B;95,76;210;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
VIKING SUN;11/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
MAASDAM;02/2015;A;99,10;45;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Fevereiro 2015
QUEEN VICTORIA;02/2017;B;95,90;205;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
AIDA CARA;11/2012;B;94,56;260;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
VISION OF THE SEAS;03/2011;C;89,27;360;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
DELPHIN;12/2013;B;94,94;225;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
AMERA (PRINSENDAM);12/2012;A;98,82;60;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
SOVEREIGN (SOBERANO);03/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
COSTA FAVOLOSA;12/2013;A;99,09;45;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
ZENITH;12/2012;B;94,88;255;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
CRYSTAL SYMPHONY;02/2011;D;81,67;615;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
NORWEGIAN SUN;04/2017;B;96,56;170;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Abril 2017
MSC MAGNIFICA;11/2012;B;95,95;205;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
MSC ORCHESTRA;11/2010;D;85,39;490;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
COSTA LUMINOSA;01/2016;B;96,80;160;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
AIDA VITA;03/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
SAGA PEARL II;03/2016;C;92,20;390;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
GRAND CELEBRATION;11/2010;D;80,48;655;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
BLEU DE FRANCE;11/2010;D;75,18;705;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
ASUKA II;05/2012;D;75,00;726;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Maio 2012
ARCADIA;01/2016;B;94,00;290;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
AIDA VITA;02/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
COSTA FAVOLOSA;12/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
SILVER WHISPER;01/2020;A;99,60;20;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
EXPLORER;11/2013;A;99,17;40;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
INSIGNIA;11/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
COSTA FAVOLOSA;01/2013;A;99,41;30;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
SILVER WHISPER;11/2010;D;84,96;500;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
SILVER CLOUD;11/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
SEABOURN QUEST;05/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Novembro 2015
SPLENDOUR OF THE SEA;12/2010;C;87,03;435;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
BLEU DE FRANCE;04/2011;C;89,27;360;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Abril 2011
CLUB MED 2;01/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
MSC POESIA;11/2018;B;95,70;215;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
SEVEN SEAS MARINER;04/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Abril 2015
ARTANIA;04/2019;C;93,39;325;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Marco 2019
COSTA FORTUNA;03/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
SPLENDOUR OF THE SEA;01/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
AURORA;01/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
MSC DIVINA;06/2014;A;97,58;120;Programa de Inspecao Navios de Cruzeiro 2014 - Copa
COSTA FAVOLOSA;12/2018;B;96,90;155;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Dezembro 2018
VIKING SKY;02/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Fevereiro 2018
AIDA CARA;03/2014;A;97,07;145;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
ADONIA;02/2012;A;98,89;44;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
GRAND MISTRAL;01/2013;C;92,10;400;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
COSTA FORTUNA;12/2011;B;94,60;265;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
AMERA (PRINSENDAM);12/2015;B;96,00;200;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
SOVEREIGN (SOBERANO);11/2013;B;95,36;230;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
HAMBURG;12/2018;B;94,01;290;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Dezembro 2018
ALBATROS;01/2011;D;77,94;740;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
WORLD EXPLORER;10/2019;A;97,40;125;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Outubro 2019
EXPLORER;11/2014;A;98,11;90;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Novembro 2014
MAASDAM;02/2013;D;84,31;790;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
COSTA VITORIA;02/2011;A;99,70;10;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
LE LYRIAL;03/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
OCEAN DREAM;02/2019;B;95,82;205;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Fevereiro 2019
GRAND CELEBRATION;02/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
PACIFIC PRINCESS;01/2013;A;98,81;60;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
BLEU DE FRANCE;05/2011;D;86,06;465;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Maio 2011
VIKING SEA;12/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Dezembro 2017
VISTAMAR;01/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
COSTA FAVOLOSA;12/2012;C;88,46;342;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
EUROPA 2;02/2015;A;99,39;30;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Fevereiro 2015
LAUSTRAL;03/2016;C;92,24;375;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
GRAND CELEBRATION;11/2012;A;98,81;60;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
SEA EXPLORER;03/2014;D;75,18;1230;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
AMERA (PRINSENDAM);03/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
MSC ORCHESTRA;03/2013;A;98,71;65;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
MSC LIRICA;02/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
VEENDAM;02/2017;A;98,00;100;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
SILVER CLOUD;12/2013;D;87,57;585;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
BALMORAL;02/2016;B;95,86;205;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
MSC OPERA;12/2010;A;96,13;130;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
COSTA FAVOLOSA;03/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
MSC SEAVIEW;12/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
REGATTA;11/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
ALBATROS;10/2011;D;84,82;755;Programa de Inspecao Navios de Cruzeiro 2011/2012  - Outubro 2011
SEA PRINCESS;02/2017;D;87,18;635;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
AIDA CARA;12/2010;C;89,27;360;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
BOUDICCA;01/2017;A;97,00;145;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Janeiro 2017
CROWN PRINCESS;03/2017;C;92,10;395;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Marco 2017
SILVER WHISPER;01/2012;A;98,41;80;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
ZENITH;03/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
OCEAN DREAM;08/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014 - Copa
SEA DREAM II;02/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
GRAND HOLIDAY;11/2012;B;96,05;195;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
VISION OF THE SEAS;04/2012;A;98,22;90;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Abril 2012
HANSEATIC;04/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Abril 2011
COSTA VITORIA;02/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
SILVER SHADOW;02/2015;B;96,10;190;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Fevereiro 2015
INSIGNIA;03/2012;D;86,77;670;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
SILVER CLOUD;12/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
CRYSTAL SERENITY;03/2013;D;83,10;830;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
CRYSTAL SERENITY;11/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Novembro 2017
INSIGNIA;03/2011;A;96,72;110;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
CELEBRITY INFINITY;02/2017;A;99,79;10;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
BOUDICCA;02/2011;A;98,21;60;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
SOVEREIGN (SOBERANO);03/2014;A;99,06;45;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
AMERA (PRINSENDAM);12/2011;A;98,17;90;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
VIKING JUPITER;11/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
AMERA (PRINSENDAM);11/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
EMPRESS (IMPERATRIZ);03/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
BRAEMAR;02/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
MSC MUSICA;12/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
MSC FANTASIA;02/2013;A;99,11;45;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
MSC SINFONIA;01/2020;B;95,80;210;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
SILVER WHISPER;12/2015;B;96,48;170;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
CELEBRITY ECLIPSE;02/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Dezembro 2018
QUEEN VICTORIA;02/2020;B;96,30;185;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Fevereiro 2020
CRYSTAL SERENITY;04/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Abril 2015
ZAANDAM;12/2013;A;97,88;63;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
MSC MUSICA;12/2011;A;99,61;20;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
AMERA (PRINSENDAM);02/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Fevereiro 2018
MARCO POLO;01/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
MARCO POLO;01/2013;A;97,04;150;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
VEENDAM;12/2012;A;97,33;135;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
AIDA CARA;02/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
SOVEREIGN (SOBERANO);03/2013;B;95,72;180;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
HAMBURG;12/2019;A;98,65;65;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
PACIFIC PRINCESS;01/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
MSC ARMONIA;04/2012;A;99,41;30;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Abril 2012
COSTA FASCINOSA;12/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
AZAMARA PURSUIT;03/2019;A;98,60;70;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Marco 2019
GRAND CELEBRATION;02/2012;C;92,20;395;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
MSC POESIA;12/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
MARINA;12/2012;B;90,13;285;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
PACIFIC PRINCESS;01/2012;A;98,40;80;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
MSC MUSICA;02/2013;A;99,59;20;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
GRAND MISTRAL;11/2012;D;87,96;610;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
COSTA SERENA;03/2013;A;98,61;70;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
MSC ORCHESTRA;12/2012;B;95,85;210;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
MSC MAGNIFICA;12/2015;A;97,36;130;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
SOVEREIGN (SOBERANO);01/2013;A;98,20;90;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Janeiro 2013
