NOME_NAVIO;MES_ANO_ABERTURA;CLASSIFICACAO_RISCO;INDICE_CONFORMIDADE;PONTUACAO_RISCO;TEMPORADA
COSTA VITORIA;12/2010;D;84,50;520;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
SOVEREIGN (SOBERANO);12/2017;B;94,40;280;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Dezembro 2017
AMADEA;02/2017;C;91,52;430;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Fevereiro 2017
OCEAN DREAM;10/2011;D;74,55;964;Programa de Inspecao Navios de Cruzeiro 2011/2012  - Outubro 2011
SEVEN SEAS MARINER;02/2012;B;95,49;225;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
SEABOURN QUEST;11/2013;A;96,97;150;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
SOVEREIGN (SOBERANO);12/2010;A;96,42;120;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
MSC ORCHESTRA;03/2012;B;95,16;245;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
SEVEN SEAS MARINER;12/2019;A;99,90;5;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
COSTA FASCINOSA;01/2017;A;99,60;20;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Dezembro 2016
BREMEN;03/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Marco 2015
AIDA CARA;11/2013;C;93,52;310;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
AMSTERDAM;01/2020;A;97,90;105;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
HANSEATIC;11/2015;A;96,93;145;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Novembro 2015
MSC MAGNIFICA;12/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
INSIGNIA;01/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
COSTA FORTUNA;12/2012;B;95,87;205;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
SPLENDOUR OF THE SEA;12/2011;D;90,29;485;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
OCEAN DREAM;11/2011;B;93,92;244;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
INSIGNIA;01/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Janeiro 2018
QUEEN MARY II;02/2016;B;92,47;225;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Fevereiro 2016
BLACK WATCH;01/2015;A;99,10;45;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
MSC ORCHESTRA;11/2018;B;96,30;185;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
AMADEA;01/2016;B;95,08;240;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
HAMBURG;01/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
WORLD ODYSSEY;11/2015;A;95,16;138;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Novembro 2015
GOLDEN PRINCESS;01/2015;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Janeiro 2015
SIRENA;10/2017;A;96,74;93;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Outubro 2017
MAGELLAN;01/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Janeiro 2018
REGATTA;11/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
ZENITH;02/2012;A;98,22;90;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
AIDA VITA;12/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Novembro 2012
SEABOURN SOJOURN;01/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Janeiro 2018
MSC POESIA;02/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Fevereiro 2014
ASTORIA;09/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 - Setembro 2017
MARINA;11/2014;A;98,36;80;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Novembro 2014
AMSTERDAM;01/2012;A;98,81;48;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
GRAND CELEBRATION;03/2011;D;85,84;475;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
MSC LIRICA;11/2014;A;98,40;80;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Novembro 2014
BREMEN;04/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Abril 2016 
CARNIVAL SPLENDOR;03/2013;A;98,70;65;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
ZENITH;12/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
HAMBURG;01/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Janeiro 2018
BALMORAL;03/2012;C;89,93;408;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
ZAANDAM;11/2017;B;95,89;200;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Novembro 2017
SEABOURN QUEST;03/2019;B;96,30;185;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Marco 2019
SIRENA;11/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
LE LYRIAL;10/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Outubro 2018
MSC MAGNIFICA;12/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Dezembro 2017
SILVER SPIRIT;12/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
AIDA VITA;02/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
LE LEVANT;02/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
ASUKA II;02/2016;A;97,30;135;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Fevereiro 2016
MSC PREZIOSA;12/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
SEA ADVENTURER;04/2012;B;93,98;244;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
HAMBURG;12/2016;C;92,80;360;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Dezembro 2016
BREMEN;04/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Abril 2012
MSC MAGNIFICA;12/2013;B;96,17;190;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
SEABOURN SOJOURN;03/2013;A;99,39;30;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
COSTA FASCINOSA;12/2019;B;94,90;255;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
SILVER SPIRIT;02/2016;B;94,50;275;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
BREMEN;05/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - maio 2014
LAUSTRAL;03/2019;D;88,50;560;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Marco 2019
COSTA PACIFICA;03/2012;B;96,05;160;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
COSTA PACIFICA;12/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
ADONIA;03/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Novembro 2015
MSC LIRICA;12/2015;B;95,30;235;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Dezembro 2015
MSC POESIA;12/2019;A;98,39;80;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
AMADEA;01/2020;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
EXPLORER;01/2012;A;98,17;54;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
MSC FANTASIA;12/2012;A;98,62;42;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
MARCO POLO;12/2010;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Janeiro 2011
AIDA CARA;01/2011;D;79,43;690;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Janeiro 2011
NATIONAL GEOGRAPHIC ;04/2016;A;98,40;80;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Marco 2016 
MSC ARMONIA;01/2011;B;91,36;290;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Janeiro 2011
MARINA;12/2013;A;97,48;125;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
VEENDAM;11/2011;D;78,32;750;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
MSC PREZIOSA;11/2017;D;88,70;565;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Novembro 2017
SEVEN SEAS NAVIGATOR;06/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Junho 2017
BREMEN;04/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Abril 2018
COSTA MAGICA;12/2011;B;93,24;268;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
GRAND MISTRAL;10/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012  - Outubro 2011
AURORA;01/2019;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2018/2019 - Janeiro 2019
GRAND MISTRAL;11/2010;B;91,45;285;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Novembro 2010
ALBATROS;01/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
OCEAN DREAM;02/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Fevereiro 2016
GRAND CELEBRATION;11/2013;D;88,60;565;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
DISCOVERY;01/2011;B;94,87;170;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Janeiro 2011
SILVER WHISPER;11/2011;C;93,98;305;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
MSC MUSICA;03/2011;B;91,14;275;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
SILVER CLOUD;02/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Fevereiro 2014
COSTA SERENA;03/2011;B;92,85;240;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
AMERA (PRINSENDAM);12/2014;B;96,21;185;Programa de Inspecao Navios de Cruzeiro 2014/2015 - Dezembro 2014
COSTA MAGICA;03/2012;A;99,80;8;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
SEVEN SEAS MARINER;03/2011;D;73,28;875;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Marco 2011
REGATTA;03/2013;B;96,36;180;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
MSC FANTASIA;11/2018;A;97,00;150;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
VISION OF THE SEAS;12/2010;C;86,24;450;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
AIDA AURA;10/2018;B;96,80;160;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Outubro 2018
MARINA;12/2016;B;96,70;165;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Dezembro 2016
HANSEATIC;03/2018;A;98,40;80;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Fevereiro 2018
COSTA FASCINOSA;12/2017;A;98,00;100;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Dezembro 2017
MAASDAM;01/2016;A;98,20;90;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
COSTA SERENA;12/2010;C;90,00;315;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
MSC ORCHESTRA;11/2013;B;96,53;170;Programa de Inspecao Navios de Cruzeiro 2013/2014 - novembro 2013
MAGELLAN;01/2020;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
MARCO POLO;01/2012;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
MSC MAGNIFICA;03/2013;A;97,40;130;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
MARINA;12/2019;A;98,60;70;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
MARCO POLO;01/2016;A;97,18;135;Programa de Inspecao Navios de Cruzeiro 2015/2016 - Janeiro 2016
HANSEATIC;04/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Abril 2017
MARCO POLO;01/2017;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Janeiro 2017
CRYSTAL SYMPHONY;03/2012;A;98,82;60;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Marco 2012
VEENDAM;02/2012;A;99,39;30;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
GRAND HOLIDAY;12/2011;D;89,44;535;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
THE WORLD;02/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Fevereiro 2018
MAASDAM;02/2014;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Fevereiro 2014
AUSTRAL;03/2013;B;94,58;270;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Marco 2013
COLUMBUS 2;12/2013;C;88,09;354;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
MINERVA;02/2014;B;95,96;195;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Fevereiro 2014
AIDA VITA;06/2011;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Abril 2011
ASTOR;12/2019;A;97,50;125;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
MSC MUSICA;11/2019;A;98,00;100;Programa de Inspecao Navios de Cruzeiro 2019/2020 - Novembro 2019
VISION OF THE SEAS;12/2011;D;90,72;470;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
SEVEN SEAS NAVIGATOR;04/2018;C;91,69;405;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Abril 2018
PRINCESS DANAE;02/2011;A;98,81;40;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Fevereiro 2011
ASTOR;02/2012;D;86,60;508;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
EUROPA 2;02/2020;A;97,29;135;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Fevereiro 2020
AZAMARA JOURNEY;11/2011;B;95,92;160;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
EMPRESS (IMPERATRIZ);03/2014;A;97,07;145;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Marco 2014
MSC OPERA;11/2011;B;94,74;265;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Novembro 2011
SOVEREIGN (SOBERANO);12/2019;A;99,30;35;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
CELEBRITY ECLIPSE;02/2020;B;94,20;232;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Fevereiro 2020
COSTA SERENA;12/2012;B;95,54;220;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Dezembro 2012
CORAL PRINCESS;12/2019;B;96,40;175;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Dezembro 2019
MSC ORCHESTRA;11/2016;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
SOVEREIGN (SOBERANO);01/2012;B;94,57;275;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Janeiro 2012
REGATTA;02/2013;C;91,66;420;Programa de Inspecao Navios de Cruzeiro 2012/2013 - Fevereiro 2013
INSIGNIA;12/2010;D;82,58;540;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Dezembro 2010
SEA DREAM II;02/2012;B;95,37;220;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
GRAND MISTRAL;02/2012;C;91,91;410;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
VIKING SEA;01/2020;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Janeiro 2020
AMERA (PRINSENDAM);12/2013;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
MARCO POLO;01/2014;A;99,60;20;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Janeiro 2014
COSTA VITORIA;12/2011;A;97,99;100;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
VIKING SEA;12/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Dezembro 2018
BRAEMAR;02/2012;C;86,54;399;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
SILVER WHISPER;11/2018;B;96,03;190;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
LE CHAMPLAIN;11/2018;C;92,80;360;Programa de Inspecao Navios de Cruzeiro 2018/2019 -  Novembro 2018
SEVEN SEAS MARINER;12/2013;B;94,55;270;Programa de Inspecao Navios de Cruzeiro 2013/2014 - Dezembro 2013
AIDA VITA;10/2010;B;94,15;195;Programa de Inspecao Navios de Cruzeiro 2010/2011 - Outubro 2010
ISLAND PRINCESS;02/2020;B;94,65;265;Programa de Inspecao Navios de Cruzeiro 2019/2020 -  Fevereiro 2020
BRAEMAR;02/2018;A;100,00;0;Programa de Inspecao Navios de Cruzeiro 2017/2018 -  Fevereiro 2018
MSC OPERA;02/2012;D;89,97;495;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Fevereiro 2012
WORLD ODYSSEY;11/2016;A;99,05;27;Programa de Inspecao Navios de Cruzeiro 2016/2017 - Novembro 2016
INSIGNIA;12/2011;B;96,59;170;Programa de Inspecao Navios de Cruzeiro 2011/2012 - Dezembro 2011
