PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,SF Find Neighborhoods 2 2,Current Police Districts 2 2,Current Supervisor Districts 2 2,Analysis Neighborhoods 2 2,DELETE - Fire Prevention Districts 2 2,DELETE - Police Districts 2 2,DELETE - Supervisor Districts 2 2,DELETE - Zip Codes 2 2,DELETE - Neighborhoods 2 2,DELETE - 2017 Fix It Zones 2 2,Civic Center Harm Reduction Project Boundary 2 2,Fix It Zones as of 2017-11-06  2 2,DELETE - HSOC Zones 2 2,Fix It Zones as of 2018-02-07 2 2,"CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2",Central Market/Tenderloin Boundary 2 2,Central Market/Tenderloin Boundary Polygon - Updated 2 2,HSOC Zones as of 2018-06-05 2 2,OWED Public Spaces 2 2,Neighborhoods 2
3114751606302,031147516,06302,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,09/28/2003,10:00,SOUTHERN,,1ST ST / BRANNAN ST,-120.5,90,POINT (-120.50000000000001 90),,,,,,,,,,,,,,,,,,,,,
5069701104134,050697011,04134,ASSAULT,BATTERY,Wednesday,06/22/2005,12:20,NORTHERN,,1200 Block of EDDY ST,-122.428223303176,37.7818959488603,POINT (-122.42822330317601 37.7818959488603),97,4,11,39,7,9,11,29490,41,,,,,,,2,,,,,97
6074729204104,060747292,04104,ASSAULT,ASSAULT,Saturday,07/15/2006,00:55,CENTRAL,,1600 Block of POWELL ST,-122.410672425337,37.799788690123,POINT (-122.41067242533701 37.799788690123),106,6,3,6,3,1,10,308,4,,,,,,,2,,,,,106
7103536315201,071035363,15201,ASSAULT,STALKING,Tuesday,09/25/2007,00:01,TARAVAL,,400 Block of ULLOA ST,-122.458226300605,37.7413616001449,POINT (-122.458226300605 37.7413616001449),49,10,8,41,1,8,4,59,40,,,,,,,1,,,,,49
11082415274000,110824152,74000,MISSING PERSON,MISSING ADULT,Saturday,09/24/2011,11:00,TARAVAL,LOCATED,3200 Block of SAN JOSE AV,-122.459172646607,37.7082001648459,POINT (-122.459172646607 37.7082001648459),,,,,,,,28588,,,,,,,,,,,,,
4037801104134,040378011,04134,ASSAULT,BATTERY,Friday,12/12/2003,12:00,SOUTHERN,,500 Block of I-80,-122.386667033903,37.7898821569191,POINT (-122.38666703390301 37.7898821569191),,,,,,,,28856,,,,,,,,,,,,,
4147669007025,041476690,07025,VEHICLE THEFT,STOLEN TRUCK,Thursday,12/30/2004,19:00,BAYVIEW,,100 Block of KAREN CT,-122.407531316146,37.723291086507,POINT (-122.40753131614602 37.723291086507),91,2,2,25,10,3,7,309,28,,,,,,,1,,,,,91
16010127305073,160101273,05073,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,02/03/2016,20:30,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.40952991327822,37.76571843952822,POINT (-122.40952991327822 37.76571843952822),53,3,9,20,8,4,8,28853,19,,,,3,,,2,,,3,,53
17004924306243,170049243,06243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,01/18/2017,18:20,TARAVAL,,NORIEGA ST / SUNSET BL,-122.49522504431104,37.75341185338174,POINT (-122.49522504431104 37.75341185338174),39,10,7,35,1,8,3,56,35,,,,,,,1,,,,,39
16065828006244,160658280,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/14/2016,21:00,TARAVAL,,3200 Block of 20TH AV,-122.47564746078615,37.72852806274646,POINT (-122.47564746078615 37.72852806274647),41,10,8,16,1,8,4,64,14,,,,,,,2,,,,,41
18032260316100,180322603,16100,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,05/01/2018,13:27,SOUTHERN,"ARREST, BOOKED",600 Block of STEVENSON ST,-122.41265189435406,37.77951316688882,POINT (-122.41265189435406 37.77951316688882),32,5,10,34,8,2,9,28853,34,3,1,3,1,3,7,2,1,1,1,,32
17612518006244,176125180,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,05/16/2017,13:00,RICHMOND,,500 Block of JOHNFKENNEDY DR,-122.46620466789287,37.772540539159316,POINT (-122.46620466789287 37.772540539159316),9,8,4,12,11,6,2,54,8,,,,,,,1,,,,,9
17629086806374,176290868,06374,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,11/01/2017,02:00,SOUTHERN,,3RD ST / TOWNSEND ST,-122.39275357357432,37.778851867022745,POINT (-122.39275357357432 37.778851867022745),32,1,10,34,6,2,9,28856,34,,,,,,,2,,,,,32
17014483765050,170144837,65050,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Monday,02/20/2017,00:50,BAYVIEW,"ARREST, BOOKED",200 Block of WILLIAMS AV,-122.39774442710336,37.729934693604356,POINT (-122.39774442710336 37.729934693604356),86,2,9,1,10,3,8,58,1,,,,,,,2,,,,,86
17614594028150,176145940,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,06/06/2017,08:00,NORTHERN,,2400 Block of GREENWICH ST,-122.43998197414118,37.79837263684663,POINT (-122.43998197414118 37.798372636846636),14,4,6,13,13,9,1,57,17,,,,,,,1,,,,,14
16006703930000,160067039,30000,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Saturday,01/23/2016,22:34,NORTHERN,"ARREST, BOOKED",FILLMORE ST / GREENWICH ST,-122.43587022018636,37.79895141428513,POINT (-122.43587022018636 37.79895141428513),15,4,6,13,13,9,1,57,17,,,,,,,1,,,,,15
17620614406244,176206144,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,08/09/2017,09:30,RICHMOND,,500 Block of JOHNFKENNEDY DR,-122.46620466789287,37.772540539159316,POINT (-122.46620466789287 37.772540539159316),9,8,4,12,11,6,2,54,8,,,,,,,1,,,,,9
16060943719090,160609437,19090,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,07/28/2016,21:40,TARAVAL,"ARREST, BOOKED",19TH AV / WINSTON DR,-122.47489915168849,37.72699053098607,POINT (-122.47489915168849 37.72699053098607),41,10,8,41,9,8,4,64,40,,,,,,,1,,,,,41
16099263027170,160992630,27170,OTHER OFFENSES,RESISTING ARREST,Wednesday,12/07/2016,02:18,MISSION,"ARREST, BOOKED",2400 Block of MISSION ST,-122.4189630823251,37.75842030365313,POINT (-122.4189630823251 37.75842030365313),53,3,2,20,2,4,7,28859,19,13,,15,3,15,,2,,,3,,53
17087589428160,170875894,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,10/26/2017,14:12,TARAVAL,,PHELAN AV / OCEAN AV,-122.45233012087064,37.72307870593594,POINT (-122.45233012087064 37.72307870593594),64,10,8,24,9,8,4,28861,24,,,19,,19,,2,,,,,64
17046132404013,170461324,04013,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,06/05/2017,21:50,PARK,,COLE ST / HAIGHT ST,-122.45070991914437,37.76952622706932,POINT (-122.45070991914437 37.76952622706932),25,7,11,3,15,5,11,29492,9,22,,24,,25,,1,,,,,25
16092490606241,160924906,06241,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,11/13/2016,11:00,NORTHERN,,WEBSTER ST / GOLDEN GATE AV,-122.43023456527314,37.77978242616834,POINT (-122.43023456527314 37.779782426168346),97,4,11,39,7,9,11,29490,41,,,,,,,2,,,,,97
16015068406244,160150684,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,02/20/2016,11:00,MISSION,,19TH ST / GUERRERO ST,-122.42364395748542,37.75996673124653,POINT (-122.42364395748542 37.75996673124653),37,3,5,20,2,4,5,28859,19,,,,,,,1,,,,,37
16014509905061,160145099,05061,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",Thursday,02/18/2016,01:45,MISSION,"ARREST, BOOKED",100 Block of POTRERO AV,-122.40767905714388,37.76771004340844,POINT (-122.40767905714388 37.76771004340844),33,3,9,20,8,4,8,28853,19,,,,3,,,2,,,3,,33
16025217765016,160252177,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,03/26/2016,23:44,SOUTHERN,"ARREST, BOOKED",11TH ST / HARRISON ST,-122.41248326347984,37.77063059107756,POINT (-122.41248326347984 37.77063059107756),32,1,10,20,8,2,9,28853,19,,,,,,,2,,,,,32
16023711306244,160237113,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,03/21/2016,17:00,SOUTHERN,,11TH ST / HARRISON ST,-122.41248326347984,37.77063059107756,POINT (-122.41248326347984 37.77063059107756),32,1,10,20,8,2,9,28853,19,,,,,,,2,,,,,32
17083350774000,170833507,74000,MISSING PERSON,MISSING ADULT,Thursday,10/12/2017,10:00,NORTHERN,,2300 Block of BUCHANAN ST,-122.43107316900743,37.79156871030016,POINT (-122.43107316900743 37.79156871030016),102,4,6,30,13,9,1,29490,27,,,,,,,1,,,,,102
16040870665016,160408706,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/19/2016,03:48,NORTHERN,"ARREST, BOOKED",SUTTER ST / GOUGH ST,-122.42505022797225,37.78713003718317,POINT (-122.42505022797225 37.78713003718317),100,4,11,30,13,9,11,28858,27,,,,,,,1,,,,,100
17025281664020,170252816,64020,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,03/28/2017,03:30,SOUTHERN,,0 Block of DORE ST,-122.41304597196554,37.77386177716113,POINT (-122.41304597196554 37.77386177716113),32,1,10,34,8,2,9,28853,34,,1,,1,,,2,,,1,,32
16074416828160,160744168,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,09/13/2016,14:00,CENTRAL,,POLK ST / NORTHPOINT ST,-122.42365836980917,37.805285092656625,POINT (-122.42365836980917 37.805285092656625),98,6,6,32,5,1,1,28858,32,,,,,,2,1,,,,,98
16067064828160,160670648,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,08/19/2016,01:40,SOUTHERN,,400 Block of NATOMA ST,-122.40703905508214,37.7807565183591,POINT (-122.40703905508214 37.780756518359105),32,1,10,34,14,2,9,28853,34,,1,,,,7,2,1,1,,,32
18033187065016,180331870,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,05/04/2018,18:06,NORTHERN,,3700 Block of BRODERICK ST,-122.4456248271671,37.804897416581035,POINT (-122.4456248271671 37.804897416581035),17,4,6,13,13,9,1,57,17,,,,,,,1,,,,,17
17046966306303,170469663,06303,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,06/07/2017,00:32,NORTHERN,,1800 Block of BROADWAY ST,-122.427548850319,37.795263148173355,POINT (-122.427548850319 37.795263148173355),102,4,6,30,13,9,1,28858,27,,,,,,,1,,,,,102
16092440103474,160924401,03474,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Saturday,11/12/2016,22:00,PARK,,17TH ST / CLAYTON ST,-122.44678349662824,37.76178159738719,POINT (-122.44678349662824 37.76178159738719),112,7,11,3,15,5,11,29492,9,,,,,,,1,,,,,112
16623704606244,166237046,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,10/23/2016,21:45,NORTHERN,,POST ST / POLK ST,-122.41993011161095,37.78682620821561,POINT (-122.41993011161095 37.78682620821561),50,4,3,36,13,9,10,28858,36,,,,,,10,2,,,,,50
16005246606243,160052466,06243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,01/19/2016,11:30,SOUTHERN,,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,POINT (-122.40340479147905 37.775420706711),32,1,10,34,14,2,9,28853,34,,,,,,,2,,,,,32
17097344807021,170973448,07021,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,11/30/2017,20:00,PARK,,0 Block of VASQUEZ AV,-122.45755146619648,37.74625993888888,POINT (-122.45755146619648 37.74625993888888),49,7,8,41,1,5,4,59,40,,,,,,,1,,,,,49
17061592964070,170615929,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,07/29/2017,06:00,INGLESIDE,,100 Block of CORTLAND AV,-122.42059720340312,37.74005381087834,POINT (-122.42059720340312 37.74005381087834),61,9,2,2,2,7,7,28859,2,,,,,,,1,,,,,61
16090266764070,160902667,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,11/05/2016,18:17,TARAVAL,,TARAVAL ST / 37TH AV,-122.49497933634231,37.74220011343486,POINT (-122.49497933634231 37.74220011343486),39,10,7,35,1,8,3,29491,35,,,,,,,1,,,,,39
16037554706312,160375547,06312,LARCENY/THEFT,PETTY THEFT BICYCLE,Saturday,05/07/2016,17:50,MISSION,,0 Block of 14TH ST,-122.41399121012827,37.76858023548153,POINT (-122.41399121012827 37.76858023548153),53,3,2,20,8,4,7,28853,19,,,,3,,,2,,,3,,53
16020237661030,160202376,61030,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,03/08/2016,17:37,NORTHERN,,2200 Block of VANNESS AV,-122.42368281433818,37.79620462095639,POINT (-122.42368281433818 37.79620462095639),102,4,6,30,13,9,1,28858,27,,,,,,,1,,,,,102
17613107428150,176131074,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,05/20/2017,18:55,PARK,,2400 Block of GEARY BL,-122.44359704751092,37.782643528093914,POINT (-122.44359704751092 37.782643528093914),13,8,6,18,15,5,1,29490,16,,,,,,,1,,,,,13
17086224964070,170862249,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,10/21/2017,12:00,PARK,,2400 Block of GEARY BL,-122.44359704751092,37.782643528093914,POINT (-122.44359704751092 37.782643528093914),13,8,6,18,15,5,1,29490,16,,,,,,,1,,,,,13
17632517006244,176325170,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,12/09/2017,01:00,BAYVIEW,,900 Block of KANSAS ST,-122.40293081410265,37.75767614205878,POINT (-122.40293081410265 37.75767614205878),54,2,9,26,10,3,8,28856,29,,,,,,,1,,,,,54
16041702004134,160417020,04134,ASSAULT,BATTERY,Sunday,05/22/2016,02:30,TARAVAL,,1300 Block of 48TH AV,-122.50806273030732,37.76124528553392,POINT (-122.50806273030732 37.76124528553392),39,10,7,35,1,8,3,56,35,,,,,,,1,,,,,39
16015697706244,160156977,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,02/09/2016,06:45,SOUTHERN,,11TH ST / HOWARD ST,-122.41556446569527,37.77309948204797,POINT (-122.41556446569527 37.773099482047975),32,1,10,20,8,2,9,28853,19,,1,,1,,,2,1,1,1,,32
16603563006372,166035630,06372,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,02/04/2016,16:30,SOUTHERN,,MARKET ST / TAYLOR ST,-122.41029351968982,37.78223058700358,POINT (-122.41029351968982 37.78223058700358),20,5,10,34,14,2,9,28853,34,17,1,18,1,18,7,2,1,1,1,35,20
17040658028160,170406580,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,05/17/2017,20:30,NORTHERN,,HEMLOCK ST / VANNESS AV,-122.42166371443264,37.78707540399301,POINT (-122.42166371443264 37.78707540399301),100,4,6,21,13,9,1,28858,21,,,,,,10,2,,,,,100
16088628727195,160886287,27195,TRESPASS,TRESPASSING,Friday,10/28/2016,19:00,PARK,,1400 Block of 7TH AV,-122.46404477780406,37.761316183664064,POINT (-122.46404477780406 37.761316183664064),109,7,11,14,1,5,11,56,12,,,,,,,1,,,,,109
17074533827090,170745338,27090,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Monday,09/11/2017,14:50,CENTRAL,,100 Block of CALIFORNIA ST,-122.39821721888966,37.79348664990497,POINT (-122.39821721888966 37.79348664990497),108,6,3,8,4,1,10,28860,6,,,,,,,2,,,,,108
16608571006372,166085710,06372,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,04/02/2016,01:00,SOUTHERN,,0 Block of 4TH ST,-122.40506481307374,37.785048251468666,POINT (-122.40506481307374 37.785048251468666),32,5,10,34,12,2,9,28853,34,,,,,,4,2,,,,,32
16611598106244,166115981,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,05/24/2016,09:30,BAYVIEW,,18TH ST / TEXAS ST,-122.39556526212482,37.762638417311585,POINT (-122.39556526212482 37.762638417311585),54,2,9,26,14,3,8,28856,29,,,,,,,1,,,,,54
16092216065010,160922160,65010,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,11/12/2016,13:44,MISSION,"ARREST, BOOKED",GUERRERO ST / 15TH ST,-122.42426056137934,37.7664064445087,POINT (-122.42426056137934 37.7664064445087),37,3,5,20,8,4,5,28853,19,,,,,,,2,,,,,37
16087296327199,160872963,27199,TRESPASS,LODGING WITHOUT PERMISSION,Wednesday,10/26/2016,16:37,SOUTHERN,"ARREST, BOOKED",6TH ST / HARRISON ST,-122.40407161140638,37.77727418543535,POINT (-122.40407161140638 37.77727418543535),32,1,10,34,14,2,9,28856,34,24,,6,,6,,2,,,,,32
17629271706224,176292717,06224,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,10/25/2017,19:00,MISSION,,MISSION ST / 21ST ST,-122.4189042045166,37.7570361132269,POINT (-122.4189042045166 37.7570361132269),53,3,2,20,2,4,7,28859,19,13,,15,3,15,,2,,,3,,53
16014057207021,160140572,07021,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/13/2016,11:00,MISSION,,500 Block of NOE ST,-122.43282361292114,37.76061820164102,POINT (-122.43282361292114 37.76061820164102),38,3,5,5,2,4,5,28862,3,,,,,,,1,,,5,,38
18034180719089,180341807,19089,OTHER OFFENSES,INCIDENT ON SCHOOL GROUNDS,Tuesday,05/08/2018,09:55,MISSION,,2300 Block of FOLSOM ST,-122.41469551481016,37.759686176424495,POINT (-122.41469551481016 37.759686176424495),53,3,2,20,2,4,7,28859,19,13,,15,3,15,,2,,,3,,53
16063571103014,160635711,03014,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,08/07/2016,03:40,INGLESIDE,"ARREST, BOOKED",100 Block of BLYTHDALE AV,-122.42055675144246,37.71089458149139,POINT (-122.42055675144246 37.71089458149139),74,9,9,40,9,7,8,309,39,,,16,,16,,2,,,,,74
17034242363010,170342423,63010,WARRANTS,WARRANT ARREST,Wednesday,04/26/2017,02:00,RICHMOND,"ARREST, BOOKED",0 Block of PARSONS ST,-122.45527648759979,37.77514899377691,POINT (-122.45527648759979 37.77514899377691),12,8,4,18,11,6,2,54,16,,,,,,,1,,,,,12
17004846109016,170048461,09016,FORGERY/COUNTERFEITING,"CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED",Monday,01/02/2017,12:00,CENTRAL,,400 Block of SUTTER ST,-122.40780266837622,37.78938189050213,POINT (-122.40780266837622 37.78938189050213),19,6,3,8,5,1,10,28857,6,10,,12,,12,5,2,,,,,19
17012976064085,170129760,64085,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,02/14/2017,22:34,BAYVIEW,"ARREST, BOOKED",CESAR CHAVEZ ST / 3RD ST,-122.38758678075612,37.75026529186443,POINT (-122.38758678075612 37.75026529186443),56,2,9,1,10,3,8,58,1,,,,,,14,1,,,,,56
17033153906113,170331539,06113,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,04/22/2017,19:30,NORTHERN,,EDDY ST / LARKIN ST,-122.41753069697998,37.78331075399689,POINT (-122.41753069697998 37.78331075399689),20,5,10,36,7,9,9,28852,36,17,1,18,,18,6,2,1,1,,,20
17008330406303,170083304,06303,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,01/28/2017,21:00,TARAVAL,,0 Block of DEMONTFORT AV,-122.45870005771599,37.7237099095411,POINT (-122.45870005771599 37.7237099095411),64,10,8,24,9,8,4,28861,24,,,19,,19,,2,,,,,64
17058730665010,170587306,65010,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,07/19/2017,14:10,SOUTHERN,,TURK ST / MASON ST,-122.40895359827883,37.783287873572014,POINT (-122.40895359827883 37.783287873572014),20,5,10,36,14,2,9,28853,36,17,1,18,,18,7,2,1,1,,35,20
16052369927199,160523699,27199,TRESPASS,LODGING WITHOUT PERMISSION,Tuesday,06/28/2016,10:30,NORTHERN,"ARREST, BOOKED",LOMBARD ST / DIVISADERO ST,-122.44264969637385,37.79899924700105,POINT (-122.44264969637385 37.79899924700105),14,4,6,13,13,9,1,57,17,,,,,,,1,,,,,14
17105596811012,171055968,11012,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Sunday,12/31/2017,21:55,NORTHERN,"ARREST, BOOKED",1800 Block of JACKSON ST,-122.42554140157225,37.793673841081215,POINT (-122.42554140157225 37.793673841081215),102,4,6,30,13,9,1,28858,27,,,,,,,1,,,,,102
17057236306244,170572363,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,07/14/2017,11:30,RICHMOND,,500 Block of JOHNFKENNEDY DR,-122.46620466789287,37.772540539159316,POINT (-122.46620466789287 37.772540539159316),9,8,4,12,11,6,2,54,8,,,,,,,1,,,,,9
17083807409029,170838074,09029,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Tuesday,10/10/2017,14:00,INGLESIDE,,0 Block of WILDER ST,-122.43341001187929,37.734089966265465,POINT (-122.43341001187929 37.734089966265465),96,9,5,10,2,7,5,63,7,15,,17,,17,,1,,,,,96
17613030528150,176130305,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,05/20/2017,23:30,NORTHERN,,FRANKLIN ST / TURK ST,-122.42227702763972,37.78175287678813,POINT (-122.42227702763972 37.78175287678813),100,4,11,39,7,9,11,28852,41,,1,,1,,8,2,,,1,,100
17105280106244,171052801,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,12/29/2017,19:30,SOUTHERN,,800 Block of MISSION ST,-122.40539549393928,37.78351007154212,POINT (-122.40539549393928 37.78351007154212),32,1,10,34,12,2,9,28853,34,,,,,,4,2,,,,,32
16068172065010,160681720,65010,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,08/23/2016,11:04,PARK,"ARREST, BOOKED",PARNASSUS AV / 4TH AV,-122.46084342394221,37.76262807802307,POINT (-122.46084342394221 37.76262807802307),109,7,11,14,15,5,11,63,12,,,,,,,1,,,,,109
16053534307025,160535343,07025,VEHICLE THEFT,STOLEN TRUCK,Thursday,06/30/2016,22:00,MISSION,,1000 Block of HAMPSHIRE ST,-122.4075927261022,37.75528803120753,POINT (-122.4075927261022 37.75528803120753),53,3,2,20,2,4,7,28859,19,,,,3,,,2,,,3,,53
18000840507021,180008405,07021,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,12/27/2017,23:00,INGLESIDE,,2200 Block of BAY SHORE BL,-122.40296132423939,37.712119503905704,POINT (-122.40296132423939 37.712119503905704),75,9,9,40,9,7,8,309,39,,,,,,,2,,,,,75
16065794763010,160657947,63010,WARRANTS,WARRANT ARREST,Monday,08/15/2016,08:15,MISSION,"ARREST, BOOKED",1700 Block of MISSION ST,-122.41987691713402,37.76957974718961,POINT (-122.41987691713402 37.76957974718962),53,3,2,20,8,4,7,28853,19,,1,,3,,,2,,,3,,53
16097174706302,160971747,06302,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,11/29/2016,17:10,SOUTHERN,"ARREST, BOOKED",500 Block of 9TH ST,-122.40770214971826,37.770696793086465,POINT (-122.40770214971826 37.770696793086465),33,1,10,34,14,2,9,28853,34,,,,,,,2,,,,,33
